Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
449,Roland Varga,MF,hu Hungary,31,1990,0,1,3,33.3,29,7,0,0,,1,1,100,0,2,0,0,0,0,0,1,0,0,0,,
450,Ruben Vargas,FWMF,ch Switzerland,22,1998,1.9,45,59,76.3,689,182,26,29,89.7,15,18,83.3,4,11,36.4,0,0,0,2,2,1,0,3,,
451,Darko Velkovski,DF,mk N. Macedonia,25,1995,2.9,101,118,85.6,2326,835,25,26,96.2,53,59,89.8,22,30,73.3,0,0,0,0,4,0,0,2,,
452,Joël Veltman,DF,nl Netherlands,29,1992,0,7,8,87.5,185,94,1,2,50,3,3,100,3,3,100,0,0,0,0,1,1,0,2,,
453,Thomas Vermaelen,DF,be Belgium,35,1985,3.2,172,181,95,3480,848,45,49,91.8,103,105,98.1,22,24,91.7,0,0,0,0,17,1,0,7,,
454,Marco Verratti,MF,it Italy,28,1992,4.4,398,425,93.6,6696,1512,200,207,96.6,156,162,96.3,35,42,83.3,2,1,1,14,33,5,1,22,,
455,Jan Vertonghen,DF,be Belgium,33,1987,3.8,282,309,91.3,5778,2274,102,105,97.1,136,149,91.3,44,54,81.5,0,0.1,-0.1,3,18,1,0,15,,
456,Jannik Vestergaard,DF,dk Denmark,28,1992,5.4,221,252,87.7,4558,1524,82,90,91.1,102,106,96.2,34,51,66.7,0,0.2,-0.2,2,17,0,0,11,,
457,Domagoj Vida,DF,hr Croatia,31,1989,4.3,164,175,93.7,3252,1077,48,53,90.6,95,96,99,20,23,87,0,0,0,0,4,0,0,3,,
458,Nikola Vlašić,FWMF,hr Croatia,23,1997,2.3,48,56,85.7,601,117,33,36,91.7,11,16,68.8,1,1,100,0,0.5,-0.5,2,3,0,0,4,,
459,Kevin Volland,FWDF,de Germany,28,1992,0.1,8,10,80,93,29,5,5,100,2,3,66.7,0,1,0,0,0,0,0,1,0,0,0,,
460,Stefan de Vrij,DF,nl Netherlands,28,1992,3.5,165,178,92.7,3858,864,41,43,95.3,82,84,97.6,37,45,82.2,0,0,0,1,15,0,0,9,,
461,Šime Vrsaljko,DF,hr Croatia,29,1992,2,90,118,76.3,1536,618,46,50,92,32,39,82.1,10,23,43.5,0,0.1,-0.1,1,4,2,1,5,,
462,Matěj Vydra,FW,cz Czech Republic,28,1992,0.4,8,12,66.7,114,34,5,7,71.4,1,1,100,1,2,50,0,0.3,-0.3,1,0,0,0,0,,
463,Kyle Walker,DF,eng England,30,1990,6.7,346,400,86.5,6847,2009,126,137,92,171,181,94.5,46,73,63,0,0.1,-0.1,2,30,2,0,14,,
464,Danny Ward,GK,wls Wales,27,1993,4,78,125,62.4,3008,2206,11,11,100,26,26,100,41,88,46.6,0,0,0,0,5,0,0,0,,
465,Daniel Wass,DF,dk Denmark,31,1989,3,168,210,80,2772,1192,89,95,93.7,66,80,82.5,12,29,41.4,0,0.2,-0.2,5,10,6,1,19,,
466,Wout Weghorst,FW,nl Netherlands,28,1992,2.1,36,53,67.9,447,65,23,30,76.7,8,16,50,2,2,100,0,1,-1,3,0,1,0,1,,
467,Vladimír Weiss,FW,sk Slovakia,31,1989,0.4,18,22,81.8,310,98,9,11,81.8,7,9,77.8,2,2,100,0,0,0,0,2,0,0,2,,
468,Timo Werner,FW,de Germany,24,1996,1.2,26,34,76.5,367,59,14,16,87.5,11,14,78.6,0,1,0,0,0,0,0,1,0,0,1,,
469,Silvan Widmer,DF,ch Switzerland,27,1993,3.3,128,158,81,1999,830,73,80,91.3,44,51,86.3,8,18,44.4,0,0,0,0,8,2,0,9,,
470,Georginio Wijnaldum,MF,nl Netherlands,30,1990,4,108,125,86.4,1794,409,53,60,88.3,39,44,88.6,11,14,78.6,0,0.4,-0.4,2,10,2,0,15,,
471,Owen Wijndal,DF,nl Netherlands,21,1999,0.6,20,26,76.9,384,123,7,7,100,12,15,80,1,3,33.3,0,0,0,0,1,0,0,1,,
472,Neco Williams,DF,wls Wales,19,2001,1.5,61,74,82.4,1188,391,35,35,100,16,21,76.2,10,16,62.5,0,0.3,-0.3,1,9,1,0,6,,
473,Harry Wilson,MFFW,wls Wales,23,1997,0.6,15,17,88.2,209,56,8,8,100,4,5,80,1,2,50,0,0.1,-0.1,1,1,0,0,1,,
474,Jonas Wind,FW,dk Denmark,21,1999,0.9,17,18,94.4,308,70,10,10,100,3,4,75,3,3,100,0,0.1,-0.1,2,2,2,0,3,,
475,Axel Witsel,MF,be Belgium,32,1989,3.4,200,209,95.7,3728,549,84,87,96.6,92,96,95.8,22,23,95.7,0,0.2,-0.2,3,12,0,0,6,,
476,Granit Xhaka,MF,ch Switzerland,28,1992,4.3,285,315,90.5,5428,1561,119,130,91.5,125,132,94.7,39,47,83,1,0.3,0.7,5,35,5,0,29,,
477,Roman Yaremchuk,FW,ua Ukraine,25,1995,4.8,97,115,84.3,1335,159,69,76,90.8,18,23,78.3,7,8,87.5,1,0.1,0.9,2,5,2,0,7,,
478,Andriy Yarmolenko,FW,ua Ukraine,31,1989,4.9,118,162,72.8,1869,447,63,74,85.1,41,53,77.4,10,16,62.5,2,0.7,1.3,6,10,7,1,13,,
479,Yusuf Yazıcı,MFFW,tr Turkey,24,1997,1.3,54,60,90,1046,372,25,26,96.2,19,20,95,9,12,75,0,0.7,-0.7,6,5,3,3,6,,
480,Burak Yılmaz,FW,tr Turkey,35,1985,3,44,60,73.3,579,48,30,38,78.9,14,19,73.7,0,3,0,0,0.2,-0.2,5,0,1,0,2,,
