Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
195,Luuk de Jong,FW,nl Netherlands,30,1990,0.1,9,14,64.3,99,18,6,7,85.7,2,4,50,0,2,0,0,0,0,0,1,0,0,1,,
196,Jorginho,MF,it Italy,29,1991,7.8,487,518,94,8249,2189,221,228,96.9,231,237,97.5,29,44,65.9,0,0.5,-0.5,6,56,5,0,35,,
197,Diogo Jota,FWMF,pt Portugal,24,1996,3.6,88,107,82.2,1399,195,47,53,88.7,30,37,81.1,8,10,80,1,1,0,5,5,0,0,3,,
198,Kamil Jóźwiak,DF,pl Poland,22,1998,2.7,104,134,77.6,1487,555,65,74,87.8,30,43,69.8,7,14,50,1,0.3,0.7,5,5,3,2,12,,
199,Josip Juranović,DF,hr Croatia,25,1995,1.8,76,91,83.5,1288,305,36,38,94.7,27,30,90,8,16,50,0,0,0,0,0,1,1,6,,
200,Pavel Kadeřábek,DF,cz Czech Republic,28,1992,1,38,49,77.6,695,284,19,20,95,14,21,66.7,5,8,62.5,0,0,0,0,3,0,0,2,,
201,İrfan Kahveci,MF,tr Turkey,25,1995,1.3,54,67,80.6,868,146,30,32,93.8,17,20,85,5,10,50,0,0.1,-0.1,4,3,1,1,2,,
202,Sasa Kalajdzic,FW,at Austria,23,1997,1.2,32,39,82.1,512,103,19,23,82.6,10,13,76.9,3,3,100,0,0.1,-0.1,1,3,2,0,4,,
203,Tomáš Kalas,DF,cz Czech Republic,27,1993,5,164,191,85.9,3845,1140,50,55,90.9,70,74,94.6,44,60,73.3,2,0.3,1.7,1,8,1,0,10,,
204,Glen Kamara,MF,fi Finland,25,1995,3,142,159,89.3,2516,629,65,73,89,57,63,90.5,18,18,100,0,0,0,2,12,2,1,9,,
205,Harry Kane,FW,eng England,27,1993,7.2,116,164,70.7,2027,376,55,72,76.4,34,52,65.4,15,22,68.2,0,0.5,-0.5,5,12,3,0,15,,
206,N'Golo Kanté,MF,fr France,29,1991,4.3,232,253,91.7,4240,867,111,119,93.3,88,94,93.6,31,32,96.9,0,0,0,1,24,1,0,16,,
207,Kenan Karaman,MF,tr Turkey,26,1994,1.8,25,41,61,296,56,18,22,81.8,6,13,46.2,0,3,0,0,0,0,0,1,0,0,0,,
208,Oleksandr Karavayev,DF,ua Ukraine,28,1992,5.3,242,290,83.4,4364,1279,114,129,88.4,91,103,88.3,30,43,69.8,1,0.8,0.2,5,11,4,0,17,,
209,Vyacheslav Karavayev,DF,ru Russia,25,1995,1.5,45,66,68.2,713,155,18,21,85.7,25,31,80.6,0,8,0,0,0.1,-0.1,1,1,0,0,2,,
210,Joni Kauko,MFFW,fi Finland,30,1990,0.7,24,31,77.4,413,84,13,13,100,9,13,69.2,2,4,50,0,0,0,0,2,1,0,2,,
211,Joshua Kimmich,DF,de Germany,25,1995,4,222,261,85.1,4085,1047,93,97,95.9,105,120,87.5,22,41,53.7,1,1,0,7,13,13,5,16,,
212,Presnel Kimpembe,DF,fr France,25,1995,4.3,260,276,94.2,5100,1456,79,84,94,149,154,96.8,29,33,87.9,0,0.1,-0.1,1,14,1,0,13,,
213,Simon Kjær,DF,dk Denmark,31,1989,5.9,235,264,89,5317,1641,60,64,93.8,131,139,94.2,41,58,70.7,0,0.1,-0.1,1,16,0,0,12,,
214,László Kleinheisler,MF,hu Hungary,26,1994,2.7,43,59,72.9,711,157,21,27,77.8,17,20,85,3,7,42.9,0,0,0,2,2,0,0,1,,
215,Mateusz Klich,MF,pl Poland,30,1990,2.3,83,119,69.7,1261,266,46,54,85.2,27,34,79.4,7,21,33.3,0,0.2,-0.2,1,8,1,1,4,,
216,Orkun Kökçü,MF,tr Turkey,20,2000,0.1,6,7,85.7,159,45,3,3,100,1,1,100,2,3,66.7,0,0,0,1,2,0,0,1,,
217,Koke,MF,es Spain,29,1992,5.3,395,450,87.8,7335,1995,183,199,92,150,159,94.3,58,84,69,0,0.6,-0.6,10,60,7,2,39,,
218,Martin Koscelník,FWDF,sk Slovakia,25,1995,1.1,33,42,78.6,644,165,13,15,86.7,15,18,83.3,5,9,55.6,0,0,0,0,1,2,1,2,,
219,Tihomir Kostadinov,MFFW,mk N. Macedonia,24,1996,0.6,13,17,76.5,213,42,6,6,100,7,7,100,0,4,0,0,0,0,1,2,0,0,1,,
220,Jules Koundé,DF,fr France,22,1998,1,41,49,83.7,676,289,24,27,88.9,14,15,93.3,3,6,50,0,0,0,0,3,1,0,4,,
221,Mateo Kovačić,MF,hr Croatia,26,1994,3.8,194,217,89.4,3477,784,83,91,91.2,86,90,95.6,18,26,69.2,1,0.2,0.8,4,12,2,0,17,,
222,Kacper Kozłowski,FWMF,pl Poland,17,2003,0.6,15,18,83.3,297,99,7,7,100,6,7,85.7,2,2,100,0,0,0,0,1,0,0,1,,
223,Emil Krafth,DF,se Sweden,26,1994,0.9,17,29,58.6,362,114,5,6,83.3,9,14,64.3,3,8,37.5,0,0,0,0,0,0,0,0,,
224,Alex Král,MF,cz Czech Republic,22,1998,1.4,46,70,65.7,819,181,22,28,78.6,16,23,69.6,7,14,50,0,0,0,0,4,0,0,4,,
225,Andrej Kramarić,FWMF,hr Croatia,29,1991,2.5,55,62,88.7,874,93,31,32,96.9,13,16,81.3,9,10,90,1,0,1,2,2,2,1,1,,
226,Michal Krmenčík,FW,cz Czech Republic,27,1993,0.7,9,13,69.2,107,25,4,6,66.7,3,3,100,0,0,,0,0.1,-0.1,1,1,0,0,1,,
227,Toni Kroos,MF,de Germany,31,1990,4,351,390,90,7791,2390,109,116,94,158,169,93.5,78,99,78.8,0,0.4,-0.4,6,64,5,0,53,,
228,Grzegorz Krychowiak,MFFW,pl Poland,31,1990,1.5,64,84,76.2,1133,345,32,37,86.5,27,36,75,5,11,45.5,0,0,0,0,6,2,0,7,,
229,Serhiy Kryvtsov,DF,ua Ukraine,29,1991,1.7,98,102,96.1,2334,288,16,17,94.1,55,55,100,26,29,89.7,0,0,0,0,0,0,0,1,,
230,Juraj Kucka,MF,sk Slovakia,33,1987,3,85,108,78.7,1604,355,44,53,83,24,31,77.4,15,21,71.4,0,0,0,1,6,1,0,4,,
231,Fyodor Kudryashov,DF,ru Russia,33,1987,0.7,17,24,70.8,301,206,6,7,85.7,11,14,78.6,0,3,0,0,0,0,0,1,0,0,1,,
232,Dejan Kulusevski,FW,se Sweden,20,2000,1.5,35,43,81.4,455,120,24,27,88.9,10,13,76.9,0,0,,2,0.8,1.2,5,0,2,0,3,,
233,Daler Kuzyaev,DFFW,ru Russia,28,1993,2.1,85,100,85,1492,397,38,41,92.7,39,44,88.6,7,12,58.3,0,0,0,1,5,3,2,4,,
234,Konrad Laimer,FWMF,at Austria,23,1997,3.7,82,112,73.2,1256,301,47,55,85.5,27,29,93.1,6,19,31.6,1,0.1,0.9,3,7,3,0,10,,
235,Stefan Lainer,DF,at Austria,28,1992,4.3,175,230,76.1,2915,1250,93,112,83,66,79,83.5,15,34,44.1,0,0,0,0,8,2,2,14,,
236,Aymeric Laporte,DF,es Spain,26,1994,7,637,673,94.7,14612,4293,126,129,97.7,387,399,97,122,141,86.5,0,0.3,-0.3,1,64,2,0,36,,
237,Lassi Lappalainen,FW,fi Finland,22,1998,0.2,3,5,60,26,4,3,4,75,0,0,,0,1,0,0,0,0,0,0,0,0,0,,
238,Seb Larsson,MF,se Sweden,35,1985,4.1,100,139,71.9,1897,485,44,51,86.3,37,47,78.7,16,31,51.6,0,0.2,-0.2,3,14,4,1,13,,
239,Valentino Lazaro,FWMF,at Austria,24,1996,0.2,14,15,93.3,270,94,6,6,100,4,5,80,3,3,100,0,0.1,-0.1,2,2,1,1,1,,
240,Thomas Lemar,FW,fr France,25,1995,0,6,7,85.7,108,26,3,3,100,2,2,100,1,2,50,0,0.1,-0.1,1,0,1,1,0,,
241,Clément Lenglet,DF,fr France,25,1995,0.5,39,41,95.1,784,232,15,16,93.8,16,16,100,8,8,100,0,0,0,0,3,0,0,5,,
242,Dylan Levitt,MF,wls Wales,20,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
243,Robert Lewandowski,FW,pl Poland,32,1988,3,46,68,67.6,790,185,19,27,70.4,19,23,82.6,5,10,50,0,0.3,-0.3,3,4,3,0,4,,
244,Philipp Lienhart,DF,at Austria,24,1996,0.6,37,41,90.2,786,202,13,14,92.9,17,18,94.4,7,9,77.8,0,0,0,0,3,0,0,2,,
245,Matthijs de Ligt,DFMF,nl Netherlands,21,1999,2.6,119,127,93.7,2687,606,28,29,96.6,69,73,94.5,22,25,88,0,0,0,0,3,0,0,5,,
246,Victor Lindelöf,DF,se Sweden,26,1994,4.3,190,215,88.4,4070,1416,52,57,91.2,101,106,95.3,34,47,72.3,0,0.1,-0.1,1,13,1,0,11,,
247,Karol Linetty,MF,pl Poland,25,1995,0.9,26,33,78.8,425,99,13,18,72.2,11,12,91.7,2,2,100,0,0,0,2,3,0,0,1,,
248,Dominik Livaković,GK,hr Croatia,26,1995,4.3,99,132,75,2809,1679,21,22,95.5,43,43,100,34,66,51.5,0,0,0,0,1,0,0,0,,
249,Marcos Llorente,DF,es Spain,26,1995,2.7,241,266,90.6,3790,1072,122,129,94.6,96,105,91.4,15,19,78.9,0,0.4,-0.4,5,18,7,2,23,,
250,Hugo Lloris,GK,fr France,34,1986,4.3,87,108,80.6,2870,1917,16,16,100,33,33,100,37,58,63.8,0,0,0,0,4,0,0,0,,
251,Stanislav Lobotka,MF,sk Slovakia,26,1994,0.5,22,23,95.7,428,65,10,10,100,8,9,88.9,3,3,100,0,0,0,0,1,0,0,0,,
252,Manuel Locatelli,MF,it Italy,23,1998,3,123,139,88.5,2334,572,59,64,92.2,43,50,86,21,25,84,0,0.1,-0.1,3,15,0,0,11,,
253,Robin Lod,MF,fi Finland,27,1993,3,83,103,80.6,1330,329,39,46,84.8,39,45,86.7,4,7,57.1,0,0.6,-0.6,3,4,3,0,8,,
254,Dejan Lovren,DF,hr Croatia,31,1989,2,100,114,87.7,2316,621,23,23,100,52,57,91.2,25,33,75.8,0,0,0,0,2,0,0,4,,
255,Gergő Lovrencsics,DFMF,hu Hungary,32,1988,1.1,28,43,65.1,643,345,8,12,66.7,11,15,73.3,8,14,57.1,0,0.1,-0.1,1,2,2,2,2,,
256,José Luis Gayà,DF,es Spain,25,1995,0.8,46,50,92,866,174,17,17,100,24,26,92.3,4,6,66.7,0,0,0,0,2,1,1,1,,
257,Romelu Lukaku,FW,be Belgium,27,1993,4.9,51,78,65.4,769,108,29,37,78.4,15,23,65.2,4,8,50,0,0.2,-0.2,3,2,4,0,6,,
258,Mikael Lustig,DF,se Sweden,34,1986,3.5,122,169,72.2,2502,788,39,45,86.7,62,80,77.5,20,40,50,0,0.1,-0.1,1,9,2,1,15,,
259,Joakim Mæhle,DF,dk Denmark,23,1997,6.3,284,334,85,4350,1580,154,168,91.7,112,130,86.2,13,21,61.9,1,0.6,0.4,6,15,8,2,27,,
260,Harry Maguire,DF,eng England,27,1993,5.7,334,367,91,7540,2156,68,73,93.2,208,220,94.5,56,71,78.9,0,0.2,-0.2,1,36,2,0,19,,
261,Róbert Mak,FW,sk Slovakia,29,1991,2.6,52,65,80,847,187,36,41,87.8,9,9,100,6,11,54.5,0,0,0,1,5,0,0,4,,
262,Yevhen Makarenko,MF,ua Ukraine,29,1991,0.6,46,49,93.9,963,227,15,15,100,21,22,95.5,9,9,100,0,0,0,0,7,0,0,3,,
263,Donyell Malen,FW,nl Netherlands,22,1999,1.7,46,55,83.6,630,123,29,33,87.9,14,17,82.4,1,2,50,2,1.9,0.1,5,1,2,0,7,,
264,Ruslan Malinovskyi,MFFW,ua Ukraine,27,1993,3.2,100,125,80,2031,609,41,45,91.1,40,51,78.4,17,24,70.8,1,2.1,-1.1,9,9,7,0,17,,
265,Marlos,FWMF,ua Ukraine,32,1988,0.8,25,31,80.6,369,60,13,15,86.7,9,9,100,1,4,25,0,0,0,0,1,1,0,1,,
266,David Marshall,GK,sct Scotland,35,1985,3,68,115,59.1,2763,2138,6,6,100,29,29,100,33,80,41.3,0,0,0,0,4,0,0,0,,
267,Lukáš Masopust,FW,cz Czech Republic,27,1993,3.5,88,111,79.3,1252,295,51,57,89.5,24,30,80,5,10,50,0,0.2,-0.2,3,3,4,1,5,,
268,Mykola Matviyenko,DF,ua Ukraine,24,1996,5.3,350,379,92.3,7082,2208,120,123,97.6,173,181,95.6,54,70,77.1,0,0,0,0,31,0,0,28,,
269,Kevin Mbabu,DF,ch Switzerland,25,1995,2.4,68,100,68,1398,515,24,30,80,30,41,73.2,12,19,63.2,1,0.4,0.6,3,8,4,1,10,,
270,Kylian Mbappé,FW,fr France,22,1998,4.3,88,112,78.6,1450,272,47,54,87,31,37,83.8,8,14,57.1,1,1.4,-0.4,7,6,4,0,9,,
271,John McGinn,MF,sct Scotland,26,1994,3,68,83,81.9,1264,305,26,29,89.7,36,39,92.3,6,12,50,0,0.4,-0.4,2,10,2,0,8,,
272,Callum McGregor,MF,sct Scotland,27,1993,2.3,84,90,93.3,1581,248,32,33,97,42,44,95.5,10,12,83.3,0,0,0,2,8,1,0,7,,
273,Scott McKenna,DF,sct Scotland,24,1996,0.6,14,17,82.4,331,80,3,3,100,7,9,77.8,4,5,80,0,0,0,0,1,0,0,1,,
274,Scott McTominay,DFMF,sct Scotland,24,1996,3,106,120,88.3,2049,774,45,50,90,48,51,94.1,11,15,73.3,0,0,0,0,7,0,0,12,,
275,Admir Mehmedi,FWMF,ch Switzerland,29,1991,0.4,20,25,80,262,74,14,17,82.4,4,4,100,1,1,100,0,0,0,0,2,0,0,1,,
276,Chris Mepham,DF,wls Wales,23,1997,3,77,87,88.5,1873,646,13,15,86.7,44,44,100,20,28,71.4,0,0,0,0,7,0,0,5,,
277,Umut Meraş,DF,tr Turkey,25,1995,1.8,61,72,84.7,1045,457,27,31,87.1,25,30,83.3,7,9,77.8,0,0,0,0,3,2,1,12,,
278,Dries Mertens,MF,be Belgium,33,1987,2,29,48,60.4,457,160,14,20,70,13,19,68.4,1,5,20,1,0.1,0.9,1,3,1,0,4,,
279,Thomas Meunier,DF,be Belgium,29,1991,3.7,168,221,76,3016,1059,84,93,90.3,62,80,77.5,20,44,45.5,2,0.3,1.7,3,7,1,0,16,,
280,Tyrone Mings,DF,eng England,27,1993,2.1,115,126,91.3,2682,796,23,23,100,67,67,100,25,35,71.4,0,0.1,-0.1,1,3,0,0,1,,
281,Aleksei Miranchuk,MFFW,ru Russia,25,1995,1.9,46,59,78,738,169,22,25,88,21,24,87.5,2,6,33.3,0,0.6,-0.6,4,5,5,0,9,,
282,Jakub Moder,MF,pl Poland,21,1999,1,14,23,60.9,384,128,4,5,80,5,7,71.4,5,10,50,0,0.2,-0.2,1,2,0,0,2,,
283,Luka Modrić,MF,hr Croatia,35,1985,4.3,250,291,85.9,4992,1458,106,118,89.8,95,100,95,43,60,71.7,1,0.4,0.6,6,22,4,1,20,,
284,Kieffer Moore,FWMF,wls Wales,28,1992,3.2,32,53,60.4,465,67,22,29,75.9,6,11,54.5,3,7,42.9,0,0,0,0,2,1,0,2,,
285,Álvaro Morata,FW,es Spain,28,1992,5,118,142,83.1,1899,144,62,73,84.9,28,34,82.4,16,18,88.9,0,0.3,-0.3,4,3,3,0,7,,
286,Gerard Moreno,FW,es Spain,28,1992,3.1,94,126,74.6,1386,304,60,68,88.2,29,37,78.4,5,12,41.7,2,0.3,1.7,3,3,7,0,13,,
287,Joe Morrell,MF,wls Wales,24,1997,3.3,106,121,87.6,2111,487,40,44,90.9,45,51,88.2,19,23,82.6,1,0.2,0.8,4,8,3,0,12,,
288,Mason Mount,MF,eng England,22,1999,5.1,149,184,81,2285,688,77,81,95.1,43,53,81.1,15,26,57.7,0,1.1,-1.1,9,7,7,0,12,,
289,João Moutinho,MF,pt Portugal,34,1986,1.7,98,111,88.3,1845,453,40,42,95.2,44,47,93.6,12,17,70.6,0,0.3,-0.3,4,8,0,0,6,,
