,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
65,Uğurcan Çakır,GK,tr Turkey,24,1996,3,103,63,40,7,0,5,3,0,0,0,0,0,46,4,53,3,78,0,0,20,70,0,6,2,1,,
66,Duje Ćaleta-Car,DF,hr Croatia,24,1996,2.3,97,93,4,3,0,8,3,0,0,0,0,0,71,14,12,24,64,6,1,0,90,1,0,0,1,,
67,Hakan Çalhanoğlu,MF,tr Turkey,26,1994,2.9,156,145,11,2,1,34,9,3,8,4,4,0,108,26,22,9,143,2,1,0,120,0,6,5,7,,
68,Dominic Calvert-Lewin,FW,eng England,23,1997,0.2,3,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,2,0,0,1,0,,
69,Emre Can,DFMF,de Germany,27,1994,0.4,45,45,0,0,0,5,1,0,0,0,0,0,35,4,6,12,29,4,0,0,41,1,2,0,1,,
70,Yannick Carrasco,MF,be Belgium,27,1993,1.5,48,43,5,1,0,4,2,3,3,2,0,0,40,2,6,4,42,1,1,0,37,0,3,3,1,,
71,William Carvalho,MF,pt Portugal,28,1992,1.5,92,92,0,0,1,15,4,0,0,0,0,0,68,14,10,14,70,6,0,1,82,0,1,1,1,,
72,Timothy Castagne,DF,be Belgium,25,1995,0.3,11,10,1,0,0,0,0,0,0,0,0,0,9,0,2,0,9,1,1,0,10,0,0,0,0,,
73,Gaetano Castrovilli,MF,it Italy,23,1997,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,3,0,0,0,0,,
74,Zeki Çelik,DF,tr Turkey,23,1997,3,163,138,25,7,2,22,3,4,0,0,0,0,105,29,29,15,119,9,18,1,133,0,1,6,1,,
75,Ondřej Čelůstka,DF,cz Czech Republic,31,1989,4.7,176,171,5,5,0,19,10,0,0,0,0,0,127,15,34,28,132,8,0,2,149,0,4,3,3,,
76,Nacer Chadli,DF,be Belgium,31,1989,1,70,63,7,0,0,14,0,4,0,0,0,0,48,15,7,19,42,1,7,0,60,0,0,0,1,,
77,Denis Cheryshev,FWMF,ru Russia,30,1990,0.4,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,0,0,,
78,Giorgio Chiellini,DF,it Italy,36,1984,4.9,313,294,19,5,0,36,7,0,0,0,0,0,249,24,40,208,78,12,5,0,287,2,3,4,2,,
79,Federico Chiesa,FW,it Italy,23,1997,4.9,112,110,2,0,2,28,6,11,0,0,0,0,82,16,14,21,87,0,2,1,84,2,4,2,6,,
80,Andreas Christensen,DF,dk Denmark,24,1996,5.8,291,276,15,13,0,33,4,0,0,0,0,0,243,22,26,18,253,10,2,1,265,0,4,4,1,,
81,Ryan Christie,FW,sct Scotland,25,1995,0.5,11,9,2,0,0,6,0,1,0,0,0,0,6,3,2,9,1,0,0,1,9,0,0,0,0,,
